Title,Time,Artist,Album,Genre,Loved,Rating,Plays,Date Added,Last Played
Magnificat & Nunc Dimittis: Nunc dimittis,2:41,"Gabriel Bambridge, Max Langdale, Timothy Lintern, William Pate, Edmund Bridges, Magdalen College Choir, Oxford, Phantasm & Daniel Hyde",Tomkins: Anthems & Canticles,Classical,0,,3,15/06/19 12:38,21/01/22 13:40
Beata Dei Genitrix,2:40,Currende Vocal Ensemble & Herman Stinders,"Philips, P.: Paradisus Sacris Cantionibus",Classical,0,,4,16/06/19 18:12,21/01/22 13:37
Factum Est Silentium,3:06,"Josep Cabre, Herman Stinders, Marie-Noëlle De Callataÿ & Marius Van Altena","Philips, P.: Paradisus Sacris Cantionibus",Classical,0,,3,16/06/19 18:12,21/01/22 13:34
"Royall Consorts, No.2 in D Minor: 3. Aire (Alman 2)",1:51,"Lucinda Moon, Hannah Lane, Latitude 37 & Laura Moore",Music of the English Renaissance,Classical,0,,3,16/06/19 18:24,21/01/22 13:31
Ecce Vicit Leo,3:13,Currende Vocal Ensemble & Herman Stinders,"Philips, P.: Paradisus Sacris Cantionibus",Classical,0,,4,16/06/19 18:12,21/01/22 13:29
Pavan No. 16 in G Minor,6:06,Alan Feinberg,Basically Bull,Classical,0,,1,06/12/20 11:46,21/01/22 13:26
Cantantibus organis,2:37,Leonardo García Alarcón & Cappella Mediterranea,Philips: Motets & Madrigaux,Classical,0,,6,16/06/19 17:07,21/01/22 13:20
"Galliard (Musica Britannica, Vol. 19, No. 78)",2:07,Alan Feinberg,Basically Bull,Classical,0,,1,06/12/20 11:46,21/01/22 13:17
Lachrimae Gementes,3:57,"John Holloway, Monika Baer, Renate Steinmann, Susanna Hefti & Martin Zeller",Pavans and Fantasies from the Age of Dowland,Classical,0,,2,16/06/19 18:22,21/01/22 13:15
The Silver Swan,1:55,The Queen's Six,Her Heavenly Harmony: Profane Music from the Royal Court,Classical,0,,2,15/06/19 12:39,21/01/22 13:11
A Substantial Verse,4:23,Daniel Hyde,Tomkins: Anthems & Canticles,Classical,0,,1,15/06/19 12:38,21/01/22 13:09
Ave Maria,2:31,Leonardo García Alarcón & Cappella Mediterranea,Philips: Motets & Madrigaux,Classical,0,,4,16/06/19 17:07,21/01/22 13:05
Cloris When As I Woo,2:31,The Queen's Six,Her Heavenly Harmony: Profane Music from the Royal Court,Classical,0,,1,15/06/19 12:39,21/01/22 13:02
Pavan à 5 No. 6,3:51,Phantasm & Laurence Dreyfus,Tomkins: Anthems & Canticles,Classical,0,,3,15/06/19 12:38,21/01/22 13:00
"Ach Elslein, liebes Elselein",2:16,Amarcord,The Book of Madrigals,Classical,0,,1,16/06/19 18:22,21/01/22 12:56
"Innsbruck, ich muß dich lassen",2:46,Amarcord,The Book of Madrigals,Classical,0,,1,16/06/19 18:22,21/01/22 12:54
Pavan Sir William Petre,5:28,Bertrand Cuiller,Mr Tomkins: his Lessons of Worthe,Classical,0,,4,20/06/19 8:06,21/01/22 12:51
"in nomine V (Musica Britannica, Vol. 14, No. 24)",3:21,Alan Feinberg,Basically Bull,Classical,0,,1,06/12/20 11:46,21/01/22 12:46
Assumpsit Jesu,2:38,"Greta de Reyghere, Josep Cabre, Herman Stinders & Marie-Noëlle De Callataÿ","Philips, P.: Paradisus Sacris Cantionibus",Classical,0,,2,16/06/19 18:12,21/01/22 12:42
Pavan & Galliard à 6 No. 18,4:31,Phantasm & Laurence Dreyfus,Tomkins: Anthems & Canticles,Classical,0,,2,15/06/19 12:38,21/01/22 12:40
"Thule, the Period of Cosmography - The Andalusian Merchant",4:02,The Queen's Six,Her Heavenly Harmony: Profane Music from the Royal Court,Classical,0,,1,15/06/19 12:39,21/01/22 12:35
Amarilli (D'après Giulio Caccini),3:08,Leonardo García Alarcón & Cappella Mediterranea,Philips: Motets & Madrigaux,Classical,0,,6,16/06/19 17:07,21/01/22 12:31
"Qui passe for my Lady Nevell, P. 19",3:56,Alan Feinberg,Basically Bull,Classical,0,,1,06/12/20 11:46,21/01/22 11:57
Chromatic Galliard,2:57,Bertrand Cuiller,Mr Tomkins: his Lessons of Worthe,Classical,2,,2,20/06/19 8:06,21/01/22 11:53
O Fons Vitae,4:18,"Greta de Reyghere, Herman Stinders & Marie-Noëlle De Callataÿ","Philips, P.: Paradisus Sacris Cantionibus",Classical,0,,2,16/06/19 18:12,21/01/22 11:50
"See, See the Shepherds' Queen",2:09,The Queen's Six,Her Heavenly Harmony: Profane Music from the Royal Court,Classical,0,,3,15/06/19 12:39,21/01/22 11:46
"O Lord God, The Heathen Are Come Into Thine Inheritance",4:16,The Ebor Singers & Paul Gameson,Music for Troubled Times: The English Civil War & Siege of York,Classical,0,,1,06/12/20 11:44,21/01/22 11:44
Coceptio Tua,3:13,The Tudor Consort,Philips: Cantiones Sacrae Quinis Vocibus,Classical,0,,2,16/06/19 18:11,21/01/22 11:39
Now Is the Gentle Season,2:50,The Queen's Six,Her Heavenly Harmony: Profane Music from the Royal Court,Classical,0,,2,15/06/19 12:39,21/01/22 11:36
Like as the Doleful Dove,1:28,The Queen's Six,Her Heavenly Harmony: Profane Music from the Royal Court,Classical,0,,3,15/06/19 11:39,21/01/22 11:33
Sister,7:46,Angel Olsen,MY WOMAN,Alternative,0,,11,21/01/21 21:22,21/01/22 11:28
Heart Shaped Face,5:33,Angel Olsen,MY WOMAN,Alternative,0,,11,21/01/21 21:22,21/01/22 11:20
Not Gonna Kill You,4:57,Angel Olsen,MY WOMAN,Alternative,0,,14,21/01/21 21:22,21/01/22 11:15
Give It Up,2:56,Angel Olsen,MY WOMAN,Alternative,0,,12,21/01/21 21:22,21/01/22 11:10
Shut Up Kiss Me,3:22,Angel Olsen,MY WOMAN,Alternative,0,,16,21/01/21 21:22,21/01/22 11:07
Never Be Mine,3:41,Angel Olsen,MY WOMAN,Alternative,2,,18,21/01/21 21:22,21/01/22 11:03
Intern,2:47,Angel Olsen,MY WOMAN,Alternative,0,,14,21/01/21 21:22,21/01/22 11:00
Breathe in Breathe Out,4:35,Polly Scattergood,Polly Scattergood,Electronic,0,,7,20/11/20 19:00,21/01/22 10:50
Nitrogen Pink,5:04,Polly Scattergood,Polly Scattergood,Electronic,0,,7,20/11/20 19:00,21/01/22 10:46
Bunny Club,5:07,Polly Scattergood,Polly Scattergood,Electronic,0,,7,20/11/20 19:00,21/01/22 10:41
Poem Song,6:16,Polly Scattergood,Polly Scattergood,Electronic,0,,9,20/11/20 19:00,21/01/22 10:08
Unforgiving Arms,3:56,Polly Scattergood,Polly Scattergood,Electronic,0,,11,20/11/20 19:00,21/01/22 9:51
I Am Strong,3:41,Polly Scattergood,Polly Scattergood,Electronic,0,,9,20/11/20 19:00,21/01/22 9:47
Please Don't Touch,3:49,Polly Scattergood,Polly Scattergood,Electronic,0,,9,20/11/20 19:00,21/01/22 9:43
Untitled 27,3:53,Polly Scattergood,Polly Scattergood,Electronic,0,,8,20/11/20 19:00,21/01/22 9:40
Other Too Endless,5:14,Polly Scattergood,Polly Scattergood,Electronic,0,,8,20/11/20 19:00,21/01/22 9:36
I Hate the Way,7:07,Polly Scattergood,Polly Scattergood,Electronic,0,,10,20/11/20 19:00,21/01/22 9:31
Save Your Tears,3:36,The Weeknd,After Hours,R&B/Soul,0,,1,21/01/22 7:31,21/01/22 7:44
Blinding Lights,3:20,The Weeknd,After Hours,R&B/Soul,0,,1,21/01/22 7:31,21/01/22 7:41
1-800-273-8255 (feat. Alessia Cara & Khalid),4:10,Logic,Everybody,Hip-Hop/Rap,0,,12,01/02/18 15:36,21/01/22 7:34
Rock 'n' Roll Star,2:51,Sorry,925,Alternative,0,,12,27/06/21 21:46,21/01/22 7:30
In Unison,2:48,Sorry,925,Alternative,0,,15,27/06/21 21:46,20/01/22 14:39
As the Sun Sets,3:59,Sorry,925,Alternative,0,,11,27/06/21 21:46,20/01/22 14:36
Whiskey and Choke,3:41,Sorry,Home Demo/ns vol. I,Alternative,0,,2,12/07/21 23:23,20/01/22 14:32
Ode to Boy,2:52,Sorry,925,Alternative,0,,10,27/06/21 21:46,20/01/22 14:28
Wolf,2:49,Sorry,925,Alternative,0,,14,27/06/21 21:46,20/01/22 14:25
Starstruck,3:28,Sorry,925,Alternative,0,,17,27/06/21 21:46,20/01/22 14:22
Lies (Refix),4:07,Sorry,925,Alternative,0,,12,27/06/21 21:46,20/01/22 14:19
Rosie,3:50,Sorry,925,Alternative,0,,29,27/06/21 21:46,20/01/22 7:50
Snakes,3:42,Sorry,925,Alternative,0,,18,27/06/21 21:46,20/01/22 7:46
Heather,3:24,Sorry,925,Alternative,0,,7,27/06/21 21:46,20/01/22 7:42
More,2:22,Sorry,925,Alternative,0,,9,27/06/21 21:46,20/01/22 7:39
Perfect,2:45,Sorry,925,Alternative,0,,13,27/06/21 21:46,20/01/22 7:37
Magic Dealer,3:02,Big Thief,U.F.O.F.,Alternative,0,,1,20/01/22 2:04,20/01/22 2:50
Jenni,4:12,Big Thief,U.F.O.F.,Alternative,2,,1,20/01/22 2:04,20/01/22 2:47
Terminal Paradise,3:25,Big Thief,U.F.O.F.,Alternative,0,,1,20/01/22 2:04,20/01/22 2:43
Betsy,3:28,Big Thief,U.F.O.F.,Alternative,0,,1,20/01/22 2:04,20/01/22 2:40
Strange,3:41,Big Thief,U.F.O.F.,Alternative,0,,1,20/01/22 2:04,20/01/22 2:36
Century,3:07,Big Thief,U.F.O.F.,Alternative,0,,1,20/01/22 2:04,20/01/22 2:32
Orange,3:30,Big Thief,U.F.O.F.,Alternative,2,,1,20/01/22 2:04,20/01/22 2:29
Open Desert,3:48,Big Thief,U.F.O.F.,Alternative,0,,1,20/01/22 2:04,20/01/22 2:26
From,3:58,Big Thief,U.F.O.F.,Alternative,0,,1,20/01/22 2:04,20/01/22 2:22
Cattails,4:06,Big Thief,U.F.O.F.,Alternative,0,,1,20/01/22 2:04,20/01/22 2:18
UFOF,3:08,Big Thief,U.F.O.F.,Alternative,0,,1,20/01/22 2:04,20/01/22 2:14
Contact,3:54,Big Thief,U.F.O.F.,Alternative,0,,1,20/01/22 2:04,20/01/22 2:11
Love Me More,3:33,Mitski,Laurel Hell,Alternative,0,,2,09/11/21 14:08,20/01/22 2:07
Parallels,4:23,Big Thief,Masterpiece,Alternative,0,,1,20/01/22 1:22,20/01/22 2:03
Randy,3:09,Big Thief,Masterpiece,Alternative,0,,1,20/01/22 1:22,20/01/22 1:58
Animals,2:59,Big Thief,Masterpiece,Alternative,0,,1,20/01/22 1:22,20/01/22 1:55
Velvet Ring,2:36,Big Thief,Masterpiece,Alternative,0,,1,20/01/22 1:22,20/01/22 1:52
Humans,3:23,Big Thief,Masterpiece,Alternative,0,,1,20/01/22 1:22,20/01/22 1:49
Paul,3:04,Big Thief,Masterpiece,Alternative,0,,1,20/01/22 1:22,20/01/22 1:46
Lorraine,1:53,Big Thief,Masterpiece,Alternative,0,,1,20/01/22 1:22,20/01/22 1:43
Interstate,3:24,Big Thief,Masterpiece,Alternative,0,,1,20/01/22 1:22,20/01/22 1:41
Real Love,4:17,Big Thief,Masterpiece,Alternative,2,,1,20/01/22 1:22,20/01/22 1:38
Vegas,2:19,Big Thief,Masterpiece,Alternative,0,,1,20/01/22 1:22,20/01/22 1:33
Masterpiece,3:51,Big Thief,Masterpiece,Alternative,0,,1,20/01/22 1:22,20/01/22 1:31
Little Arrow,1:58,Big Thief,Masterpiece,Alternative,0,,1,20/01/22 1:22,20/01/22 1:27
The Only Heartbreaker,3:05,Mitski,Laurel Hell,Alternative,0,,4,09/11/21 14:08,20/01/22 1:25
Heat Lightning,2:52,Mitski,Laurel Hell,Alternative,0,,2,07/12/21 8:42,20/01/22 1:22
Working for the Knife,2:39,Mitski,Laurel Hell,Alternative,0,,3,09/11/21 14:08,20/01/22 1:13
Right Round the Clock,4:05,Sorry,925,Alternative,0,,13,27/06/21 21:46,19/01/22 17:42
Adeus Você,2:59,Los Hermanos,Bloco do Eu Sozinho,Brazilian,0,,5,29/11/17 18:47,19/01/22 17:37
Tão Sozinho,1:19,Los Hermanos,Bloco do Eu Sozinho,Brazilian,0,,2,29/11/17 18:47,19/01/22 17:34
Veja Bem Meu Bem,4:41,Los Hermanos,Bloco do Eu Sozinho,Brazilian,0,,4,29/11/17 18:47,19/01/22 17:32
Fingi na Hora Rir,4:11,Los Hermanos,Bloco do Eu Sozinho,Brazilian,0,,4,29/11/17 18:47,19/01/22 17:28
Mais uma Canção,4:12,Los Hermanos,Bloco do Eu Sozinho,Brazilian,0,,6,29/11/17 17:47,19/01/22 17:24
Deixa Estar,3:31,Los Hermanos,Bloco do Eu Sozinho,Brazilian,0,,5,29/11/17 17:47,19/01/22 17:19
Cher Antoine,2:31,Los Hermanos,Bloco do Eu Sozinho,Brazilian,0,,5,29/11/17 17:47,19/01/22 17:16
Sentimental,5:10,Los Hermanos,Bloco do Eu Sozinho,Brazilian,0,,4,29/11/17 17:47,19/01/22 17:13
Cadê Teu Suín?,2:35,Los Hermanos,Bloco do Eu Sozinho,Brazilian,0,,5,29/11/17 17:47,19/01/22 17:08
Casa Pré-Fabricada,2:56,Los Hermanos,Bloco do Eu Sozinho,Brazilian,0,,4,29/11/17 17:47,19/01/22 17:06
Assim Será,3:37,Los Hermanos,Bloco do Eu Sozinho,Brazilian,0,,5,29/11/17 17:47,19/01/22 17:03
Retrato pra Iaiá,3:58,Los Hermanos,Bloco do Eu Sozinho,Brazilian,2,,9,29/11/17 17:47,19/01/22 16:59
A Flor,3:27,Los Hermanos,Bloco do Eu Sozinho,Brazilian,0,,6,29/11/17 17:47,19/01/22 16:55
Todo Carnaval Tem Seu Fim,4:25,Los Hermanos,Bloco do Eu Sozinho,Brazilian,0,,4,29/11/17 17:47,19/01/22 16:50
Burn Baby Burn,3:25,Emmy the Great,First Love - Single,Pop,2,,27,11/11/11 18:23,19/01/22 16:45
This Modern Love,4:26,Bloc Party,Silent Alarm,Alternative,0,,11,21/09/21 6:36,19/01/22 14:34
Zombie Christmas,3:44,Emmy the Great & Tim Wheeler,This Is Christmas,Singer/Songwriter,0,,5,19/09/16 16:55,19/01/22 14:30
Octopus,3:06,Bloc Party,FOUR (Deluxe Version),Alternative,0,,7,09/11/21 7:35,19/01/22 14:26
Day Four,4:11,Bloc Party,FOUR (Deluxe Version),Alternative,0,,3,09/11/21 7:35,19/01/22 14:23
Banquet,3:21,Bloc Party,Silent Alarm,Alternative,0,,12,21/09/21 6:36,19/01/22 14:19
3 X 3,2:39,Bloc Party,FOUR (Deluxe Version),Alternative,0,,7,09/11/21 7:35,19/01/22 14:16
22 I Will Always Love You (Dolly Parton),2:19,Emmy the Great,The End of the World," Folk, Folk-Rock",0,,4,26/03/20 1:12,19/01/22 12:54
21 All Those Years Ago,3:23,Emmy the Great,The End of the World," Folk, Folk-Rock",0,,5,26/03/20 1:12,19/01/22 12:52
20 We Are Vanished,2:59,Emmy the Great,The End of the World," Folk, Folk-Rock",0,,4,26/03/20 1:12,19/01/22 12:49
19 Kiss The Sun,4:09,Emmy the Great,The End of the World," Folk, Folk-Rock",0,,4,26/03/20 1:12,19/01/22 12:46
18 Eastern Maria | ZUBB Sessions,5:09,Emmy the Great,The End of the World," Folk, Folk-Rock",0,,4,26/03/20 1:12,19/01/22 12:42
16 Lost in Austin (live acoustic),2:37,Emmy the Great,The End of the World," Folk, Folk-Rock",0,,4,26/03/20 1:12,19/01/22 12:36
15 Modern Girl (Sleater-Kinney cover),4:14,Emmy the Great,The End of the World," Folk, Folk-Rock",0,,5,26/03/20 1:12,19/01/22 12:33
14 Anthem (Leonard Cohen cover),4:34,Emmy the Great,The End of the World," Folk, Folk-Rock",0,,6,26/03/20 1:12,19/01/22 10:15
13 Who Knows Where The Time Goes?,4:14,Emmy the Great,The End of the World," Folk, Folk-Rock",0,,5,26/03/20 1:12,19/01/22 10:10
12 Mahal Kita | Acoustic live session in Paris,4:11,Emmy the Great,The End of the World," Folk, Folk-Rock",0,,5,26/03/20 1:12,19/01/22 10:06
11 Phoenixes (Last.fm Sessions),3:12,Emmy the Great,The End of the World," Folk, Folk-Rock",0,,5,26/03/20 1:12,19/01/22 10:02
10 Baby I Love You (live on BBC 6 Music),2:55,Emmy the Great,The End of the World," Folk, Folk-Rock",0,,5,26/03/20 1:12,19/01/22 9:58
"07 Gabriel (Live at Voces Femeninas. Vigo, Nov. 2008)",4:29,Emmy the Great,The End of the World," Folk, Folk-Rock",0,,5,26/03/20 1:12,19/01/22 9:55
06 The Woods (Sidewalk 12-12-06),2:45,Emmy the Great,The End of the World," Folk, Folk-Rock",0,,6,26/03/20 1:12,19/01/22 9:51
05 Secret Circus (live),3:39,Emmy the Great,The End of the World," Folk, Folk-Rock",0,,5,26/03/20 1:12,19/01/22 9:48
08 Gloria (live),5:27,Emmy the Great,The End of the World," Folk, Folk-Rock",0,,6,26/03/20 1:12,19/01/22 9:44
04 The Hypnotists Son (live),4:18,Emmy the Great,The End of the World," Folk, Folk-Rock",0,,5,26/03/20 1:12,19/01/22 9:32
03 Two Steps Forward (live),5:42,Emmy the Great,The End of the World," Folk, Folk-Rock",0,,4,26/03/20 1:12,19/01/22 8:03
02 Edward Is Dedward (village players version),3:57,Emmy the Great,The End of the World," Folk, Folk-Rock",0,,5,26/03/20 1:12,19/01/22 7:57
01 The End of the World (Concert),2:40,Emmy the Great,The End of the World," Folk, Folk-Rock",2,,5,26/03/20 1:12,19/01/22 7:53
Ratchet,3:18,Bloc Party,FOUR (Deluxe Version),Alternative,0,,3,09/11/21 7:35,19/01/22 7:48
So He Begins To Lie,3:34,Bloc Party,FOUR (Deluxe Version),Alternative,0,,13,09/11/21 7:35,19/01/22 7:45
Two More Years (Single Version),4:28,Bloc Party,Two More Years / Hero - Single,Alternative,0,,6,11/11/21 14:26,19/01/22 7:41
Helicopter,3:40,Bloc Party,Silent Alarm,Alternative,0,,7,21/09/21 6:36,19/01/22 7:37
The Mountain,3:11,PJ Harvey,White Chalk,Alternative,0,,15,27/09/15 0:00,19/01/22 2:37
Before Departure,3:46,PJ Harvey,White Chalk,Alternative,0,,14,27/09/15 0:00,19/01/22 2:34
The Piano,2:37,PJ Harvey,White Chalk,Alternative,0,,16,27/09/15 0:00,19/01/22 2:30
To Talk to You,4:01,PJ Harvey,White Chalk,Alternative,0,,16,27/09/15 0:00,19/01/22 2:28
Silence,3:06,PJ Harvey,White Chalk,Alternative,2,,22,27/09/15 0:00,19/01/22 2:24
Broken Harp,1:57,PJ Harvey,White Chalk,Alternative,0,,18,27/09/15 0:00,19/01/22 2:20
White Chalk,3:07,PJ Harvey,White Chalk,Alternative,0,,18,27/09/15 0:00,19/01/22 2:15
When Under Ether,2:22,PJ Harvey,White Chalk,Alternative,2,,25,27/09/15 0:00,19/01/22 1:35
Grow Grow Grow,3:22,PJ Harvey,White Chalk,Alternative,0,,18,27/09/15 0:00,19/01/22 1:32
Dear Darkness,3:09,PJ Harvey,White Chalk,Alternative,0,,16,27/09/15 0:00,19/01/22 1:29
The Devil,2:56,PJ Harvey,White Chalk,Alternative,0,,17,27/09/15 0:00,19/01/22 1:26
Fala Chorando,3:44,Orquestra Imperial & Thelma de Freitas,Fazendo as Pazes Com o Swing,Worldwide,0,,1,30/11/17 1:10,18/01/22 22:49
Pode Ser,3:11,Orquestra Imperial & Rodrigo Amarante,Fazendo as Pazes Com o Swing,Worldwide,0,,4,30/11/17 0:10,18/01/22 22:45
Apaixonado,3:38,Orquestra Imperial & Wilson das Neves,Fazendo as Pazes Com o Swing,Worldwide,0,,4,30/11/17 1:10,18/01/22 22:42
Moléculas,3:27,Orquestra Imperial & Nina Becker,Fazendo as Pazes Com o Swing,Worldwide,2,,5,30/11/17 0:10,18/01/22 22:38
Aguenta Mais,3:19,Orquestra Imperial & Ruben Jacobinha,Fazendo as Pazes Com o Swing,Worldwide,2,,4,30/11/17 0:10,18/01/22 22:35
Mocotó em Tijuana,3:38,Orquestra Imperial,Fazendo as Pazes Com o Swing,Worldwide,2,,2,30/11/17 0:10,18/01/22 22:32
Velha Estória,3:14,Orquestra Imperial & Duani,Fazendo as Pazes Com o Swing,Worldwide,0,,3,30/11/17 0:10,18/01/22 22:28
A Saudade É Que Me Consola,3:12,"Orquestra Imperial, Moreno Veloso & Wilson das Neves",Fazendo as Pazes Com o Swing,Worldwide,0,,6,30/11/17 0:10,18/01/22 22:25
Alcaçuz,4:13,Orquestra Imperial & Nina Becker,Fazendo as Pazes Com o Swing,Worldwide,0,,3,30/11/17 0:10,18/01/22 22:21
Tamancas do Cateretê,2:54,Orquestra Imperial & Ruben Jacobinha,Fazendo as Pazes Com o Swing,Worldwide,0,,2,30/11/17 0:10,18/01/22 22:17
Cair na Folia,3:34,Orquestra Imperial & Duani,Fazendo as Pazes Com o Swing,Worldwide,0,,4,30/11/17 0:10,18/01/22 22:14
Swimming Pool (Mandarin Version),4:28,Emmy the Great,再來的愛 - Single,Alternative,0,,9,14/12/18 8:25,18/01/22 21:31
Social Halo (Cantonese Version),4:03,Emmy the Great,再來的愛 - Single,Alternative,0,,12,14/12/18 8:25,18/01/22 21:26
Constantly (Mandarin Version),4:28,Emmy the Great,再來的愛 - Single,Alternative,2,,19,14/12/18 8:25,18/01/22 21:22
Sleep in While You're Doing Your Best,2:21,Weatherday,Come In,Alternative,0,,2,10/01/22 7:27,18/01/22 14:34
"Mio, Min Mio",4:47,Weatherday,Come In,Alternative,0,,2,10/01/22 7:27,18/01/22 14:31
Older Than Before (Oswald Made No Way for Himself),3:43,Weatherday,Come In,Alternative,0,,2,10/01/22 7:27,18/01/22 14:27
Come In,1:36,Weatherday,Come In,Alternative,0,,2,10/01/22 7:27,18/01/22 14:23
Ship,1:55,Micachu,Jewellery,Alternative,0,,1,05/01/13 23:31,18/01/22 7:45
Floor,1:23,Micachu,Jewellery,Alternative,0,,2,05/01/13 23:31,18/01/22 7:43
Fallen Down,0:58,Toby Fox,UNDERTALE Soundtrack,Soundtrack,0,,1,18/01/22 7:32,18/01/22 7:42
Alien Blues,2:36,Vundabar,Gawk,Pop,0,,22,08/10/21 13:32,18/01/22 7:41
Vulture,2:50,Micachu & The Shapes,Jewellery,Alternative,0,,3,05/01/13 23:31,18/01/22 7:38
Fahrradsattel,1:49,Pisse,Kohlrübenwinter,Rock,0,,1,18/01/22 7:32,18/01/22 7:35
Just In Case,2:46,Micachu,Jewellery,Alternative,0,,2,05/01/13 23:31,18/01/22 7:34
The District Sleeps Alone Tonight,4:44,The Postal Service,Give Up (Deluxe 10th Anniversary Edition),Electronic,0,,14,16/02/14 14:25,17/01/22 14:39
